metadata_nonproduct_terms,repo_key,rows,title,desc,substring_only_terms,boundary_terms
website,antswordproject@antsword,3,GitHub - AntSwordProject/antSword: 中国蚁剑是一款跨平台的开源网站管理工具。AntSword is a cross-platform website management toolkit. · GitHub,中国蚁剑是一款跨平台的开源网站管理工具。AntSword is a cross-platform website management toolkit. - AntSwordProject/antSword,,website
website,pymumu@smartdns,3,"GitHub - pymumu/smartdns: A local DNS server to obtain the fastest website IP for the best Internet experience, support DoT, DoH, DoQ. 一个本地DNS服务器，获取最快的网站IP，获得最佳上网体验，支持DoH，DoT，DoQ。 · GitHub","A local DNS server to obtain the fastest website IP for the best Internet experience, support DoT, DoH, DoQ. 一个本地DNS服务器，获取最快的网站IP，获得最佳上网体验，支持DoH，DoT，DoQ。 - pymumu/smartdns",,website
website,arslancb@clipbucket,2,"GitHub - arslancb/clipbucket: Open source video sharing website script, Tune.pk clone, Youtube clone, dailymotion clone. PHP. · GitHub","Open source video sharing website script, Tune.pk clone, Youtube clone, dailymotion clone. PHP. - arslancb/clipbucket",,website
website,impress-org@givewp,2,GitHub - impress-org/givewp: GiveWP - The #1 Donation Plugin for WordPress. Easily accept donations and fundraise using your WordPress website. · GitHub,GiveWP - The #1 Donation Plugin for WordPress. Easily accept donations and fundraise using your WordPress website. - impress-org/givewp,,website
website,10up@safe-svg,1,GitHub - 10up/safe-svg: Enable SVG uploads and sanitize them to stop XML/SVG vulnerabilities in your WordPress website. · GitHub,Enable SVG uploads and sanitize them to stop XML/SVG vulnerabilities in your WordPress website. - 10up/safe-svg,,website
website,eventespresso@event-espresso-core,1,GitHub - eventespresso/event-espresso-core: Event Espresso 4 Core for WordPress: Build an Event Ticketing Website Today! · GitHub,Event Espresso 4 Core for WordPress: Build an Event Ticketing Website Today! - eventespresso/event-espresso-core,,website
website,fluxbb@fluxbb,1,"GitHub - fluxbb/fluxbb: FluxBB is a fast, light, user-friendly forum application for your website. · GitHub","FluxBB is a fast, light, user-friendly forum application for your website. - fluxbb/fluxbb",,website
website,johnbillion@wp-crontrol,1,GitHub - johnbillion/wp-crontrol: Take control of the cron events on your WordPress website or WooCommerce store · GitHub,Take control of the cron events on your WordPress website or WooCommerce store - johnbillion/wp-crontrol,,website
website,open-web-analytics@open-web-analytics,1,GitHub - Open-Web-Analytics/Open-Web-Analytics: Official repository for Open Web Analytics which is an open source alternative to commercial tools such as Google Analytics. Stay in control of the data you collect about the use of your website or app. Please consider sponsoring this project. · GitHub,Official repository for Open Web Analytics which is an open source alternative to commercial tools such as Google Analytics. Stay in control of the data you collect about the use of your website or...,,website
website,trustedsec@trevorc2,1,GitHub - trustedsec/trevorc2: TrevorC2 is a legitimate website (browsable) that tunnels client/server communications for covert command execution. · GitHub,TrevorC2 is a legitimate website (browsable) that tunnels client/server communications for covert command execution. - trustedsec/trevorc2,,website
website,yarnpkg@website,1,GitHub - yarnpkg/website: Yarn package manager website · GitHub,Yarn package manager website. Contribute to yarnpkg/website development by creating an account on GitHub.,,website
